,date,Open,High,Low,Close
725,2024-12-11,1955.0,1978.0,1952.0,1974.15
726,2024-12-12,1975.2,1998.8,1970.55,1987.0
727,2024-12-13,1969.75,2006.45,1953.8,1999.7
728,2024-12-16,1995.45,1999.6,1977.6,1980.05
729,2024-12-17,1968.0,1982.0,1958.0,1976.6
730,2024-12-18,1966.8,1984.95,1961.6,1979.15
731,2024-12-19,1934.0,1959.75,1920.0,1946.2
732,2024-12-20,1975.15,1979.95,1911.25,1922.15
733,2024-12-23,1930.05,1940.0,1909.0,1924.3
734,2024-12-24,1927.05,1942.0,1840.0,1909.05
735,2024-12-26,1909.05,1919.75,1902.3,1907.4
736,2024-12-27,1909.4,1924.15,1903.9,1916.75
737,2024-12-30,1915.7,1916.0,1886.5,1906.0
738,2024-12-31,1892.3,1897.0,1845.05,1880.0
739,2025-01-01,1874.0,1892.95,1874.0,1882.5
740,2025-01-02,1887.0,1962.65,1885.3,1957.85
741,2025-01-03,1952.95,1952.95,1922.0,1938.75
742,2025-01-06,1952.0,1973.0,1928.0,1937.85
743,2025-01-07,1945.0,1958.55,1923.65,1930.85
744,2025-01-08,1930.0,1938.6,1888.75,1933.15
745,2025-01-09,1934.05,1951.85,1910.55,1917.3
746,2025-01-10,1937.0,1977.8,1932.25,1966.95
747,2025-01-13,1956.0,1982.8,1949.0,1962.2
748,2025-01-14,1968.85,1971.8,1931.1,1940.05
749,2025-01-15,1947.0,1958.05,1937.1,1949.65
750,2025-01-16,1965.95,1966.95,1916.85,1928.45
751,2025-01-17,1851.0,1858.0,1812.0,1815.45
752,2025-01-20,1822.95,1827.95,1793.15,1813.3
753,2025-01-21,1819.05,1831.65,1793.05,1800.7
754,2025-01-22,1807.4,1865.8,1805.15,1856.45
755,2025-01-23,1858.0,1879.55,1852.7,1865.45
756,2025-01-24,1865.5,1894.9,1864.25,1875.45
757,2025-01-27,1848.75,1863.0,1812.0,1822.0
758,2025-01-28,1830.0,1863.5,1824.9,1829.75
759,2025-01-29,1845.0,1888.65,1840.5,1881.25
760,2025-01-30,1873.15,1887.2,1844.0,1859.95
761,2025-01-31,1871.0,1897.45,1871.0,1879.8
762,2025-02-01,1880.3,1890.6,1846.0,1851.35
763,2025-02-03,1836.0,1876.55,1832.4,1863.3
764,2025-02-04,1889.0,1911.2,1875.0,1898.8
765,2025-02-05,1906.0,1919.7,1894.3,1897.05
766,2025-02-06,1917.0,1924.0,1900.0,1915.65
767,2025-02-07,1919.3,1923.7,1889.45,1903.65
768,2025-02-10,1905.0,1905.0,1878.6,1880.3
769,2025-02-11,1883.1,1903.0,1870.0,1875.65
