,index,Unnamed: 0,Symbol,INSTRUMENT,Expiry,Strike Price,Option Type,Open,High,Low,Close,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,Date,futures_price,time_diff,strike_distance,impliedvolatility,delta,theta,gamma,vega,sabrsigma
39,35040,127355,AXISBANK,OPTSTK,2021-11-25,940,CE,0.15,0.15,0.1,0.1,0.1,16,180.5,33600,-19200,2021-11-23,686.05,2.0,253.95000000000005,156.25,0.003849134638052022,-0.22705831332521817,0.00014424762727030622,0.005812692821125585,156.23886386908663
40,35041,127356,AXISBANK,OPTSTK,2021-11-25,950,CE,0.1,0.2,0.05,0.05,0.05,112,1276.94,537600,-78000,2021-11-23,686.05,2.0,263.95000000000005,152.34375,0.0023264894088236682,-0.14064833580635186,9.399324366714423e-05,0.0036929204068129307,159.82673785197503
41,35042,127357,AXISBANK,OPTSTK,2021-11-25,960,CE,0.15,0.2,0.1,0.15,0.15,33,380.22,138000,-6000,2021-11-23,686.05,2.0,273.95000000000005,173.828125,0.0054358989570753745,-0.34375114868477014,0.00017644745128623978,0.007910138792206846,163.3555969477682
42,35043,127358,AXISBANK,OPTSTK,2021-11-25,970,CE,0.15,0.15,0.1,0.1,0.0,8,93.13,34800,-3600,2021-11-23,686.05,2.0,283.95000000000005,171.875,0.003922856548108738,-0.25404620430300734,0.0001333824256041558,0.005912348027415444,166.82760991513356
43,35044,127359,AXISBANK,OPTSTK,2021-11-25,980,CE,0.05,0.15,0.05,0.1,0.1,20,235.22,139200,-15600,2021-11-23,686.05,2.0,293.95000000000005,171.875,0.0030789414655501657,-0.2043715359432533,0.00010730162752616785,0.004756283018315714,170.24481030259528
44,35045,127360,AXISBANK,OPTSTK,2021-11-25,990,CE,0.0,0.0,0.0,0.2,0.0,0,0.0,10800,0,2021-11-23,686.05,2.0,303.95000000000005,195.3125,0.0068610642975360054,-0.47473463046205533,0.0001930199319090007,0.009722565231862894,173.60910856153006
45,35046,127361,AXISBANK,OPTSTK,2021-11-25,1000,CE,0.1,0.15,0.05,0.05,0.05,53,636.05,274800,-36000,2021-11-23,686.05,2.0,313.95000000000005,171.875,0.0018774798797329454,-0.13062895589729218,6.858440195759645e-05,0.0030400920645188,176.9223027764485
46,35047,127362,AXISBANK,OPTSTK,2021-11-25,1010,CE,0.05,0.05,0.05,0.05,0.0,12,145.44,87600,-14400,2021-11-23,686.05,2.0,323.95000000000005,175.78125,0.001823072613976234,-0.13007339311231997,6.529120671233773e-05,0.0029598923232670147,180.18608819710758
0,37533,129866,AXISBANK,OPTSTK,2021-11-25,490,PE,0.0,0.0,0.0,0.3,0.0,0,0.0,1200,0,2021-11-24,684.8,1.0,194.79999999999995,281.25,-0.009454280119778514,-1.2791425151721976,0.00025172666869274914,0.009096124552335626,161.4142410869298
1,37534,129867,AXISBANK,OPTSTK,2021-11-25,500,PE,0.15,0.15,0.05,0.05,0.0,4,24.0,18000,0,2021-11-24,684.8,1.0,184.79999999999995,214.84375,-0.0021648595290856463,-0.262314644642782,8.846519633755429e-05,0.0024419108737655337,156.85786739798502
