gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,at,bkvlps,csho,dltt,dpvieb,lt,sale,wcap,costat,mkvalt
1449,20161231,2016,FS,C,D,STD,AFL,1055102,AFLAC INC,USD,129819,,,4705,,109337,,,A,
1449,20161231,2016,INDL,C,D,STD,AFL,1055102,AFLAC INC,USD,129819,50.4719,405.81,4705,509,109337,22374,,A,
1449,20171231,2017,FS,C,D,STD,AFL,1055102,AFLAC INC,USD,137217,,,5281,,112619,,,A,
1449,20171231,2017,INDL,C,D,STD,AFL,1055102,AFLAC INC,USD,137217,62.9983,390.455,5281,547,112619,21700,,A,
1449,20181231,2018,FS,C,D,STD,AFL,1055102,AFLAC INC,USD,140406,,,5773,,116944,,,A,
1449,20181231,2018,INDL,C,D,STD,AFL,1055102,AFLAC INC,USD,140406,31.0637,755.286,5773,581,116944,21768,,A,
1449,20191231,2019,FS,C,D,STD,AFL,1055102,AFLAC INC,USD,152768,,,6569,,123809,,,A,
1449,20191231,2019,INDL,C,D,STD,AFL,1055102,AFLAC INC,USD,152768,39.8449,726.793,6569,609,123809,22369,,A,
1487,20101231,2010,FS,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,683443,,,89738,,569770,,,A,
1487,20101231,2010,INDL,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,683443,52.0227,695.293,89738,16500,569770,76791,,A,
1487,20111231,2011,FS,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,555773,,,68287,,441444,,,A,44006.2472
1487,20111231,2011,INDL,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,555773,55.3299,1896.821,68287,3800,441444,64353,,A,44006.2472
1487,20121231,2012,FS,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,548633,,,45311,,449630,,,A,
1487,20121231,2012,INDL,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,548633,66.3825,1476.322,45311,,449630,65890,,A,
1487,20131231,2013,FS,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,541329,,,38363,,440218,,,A,
1487,20131231,2013,INDL,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,541329,68.6241,1464.063,38363,,440218,67375,,A,
